"LANGUAGE","Русский",""
"ZMD_NAME","Zoning Adjuster",""
"ZMD_DESC","Позволяет зонировать дороги шириной 8 и 24 метра для выравнивания с дорогами обычной ширины и добавляет возможность смещения начальных позиций зонирования вдоль дорог.",""
"ZMD_PNL_DIS","Отключить зонирование",""
"ZMD_PNL_FOR","Принудительное зонирование",""
"ZMD_PNL_DIS_TIP","Отключить создание всех зон при строительстве дорог (зонирование всё ещё можно добавить с помощью Zoning Adjuster)",""
"ZMD_PNL_POZ","Приоритет старых дорог",""
"ZMD_PNL_POZ_TIP","Когда этот параметр установлен, зонирование, привязанное к новым дорогам, не будет перезаписывать зонирование, привязанное к старым дорогам",""
"ZMD_PNL_PNZ","Приоритет новых дорог",""
"ZMD_PNL_PNZ_TIP","Когда этот параметр установлен, зонирование, привязанное к старым дорогам, не будет перезаписывать зонирование, привязанное к новым дорогам",""
"ZMD_PNL_PVZ","Нет приоритета",""
"ZMD_PNL_PVZ_TIP","Поведение игры по умолчанию",""
"ZMD_PNL_SBK","Зонирование с отступом",""
"ZMD_PNL_SBK_TIP","Добавляет зазор между краем дороги и сеткой зонирования",""
"ZMD_PNL_DEP","Глубина зонирования",""
"ZMD_PNL_DEP_TIP","Устанавливает максимальный отступ зон от дороги в ячейках",""
"ZMD_OPT_KEY","Клавиша-модификатор",""
"ZMD_OPT_ZOK","Клавиша-модификатор смещения зонирования",""
"ZMD_OPT_SHO","Параметры видимости панели",""
"ZMD_OPT_SOR","Автоматически показывать панель настроек зонирования при открытии меню дорог ",""
"ZMD_OPT_SPB","Показывать кнопку панели",""
"ZMD_OPT_POS","Расположение панели и кнопки",""
"ZMD_OPT_RPP","Сброс положения панели",""
"ZMD_OPT_RBP","Сброс положения кнопки",""
"ZMD_SHIFT","Shift",""
"ZMD_CTRL","Ctrl",""
"ZMD_ALT","Alt",""
"TRN_CHOICE","Установить язык",""
"LANGUAGE_GAME","Язык игры",""
"KEY_KEY","Горячая клавиша инструмента зонирования",""
"PRESS_ANY_KEY","Нажмите любую клавишу",""
"NOTE_CLOSE","Закрыть",""
"NOTE_DONTSHOWAGAIN","Больше не показывать",""
"MES_PAGE","Пожалуйста, перейдите на страницу мода в Steam Workshop для получения дополнительной информации.",""
"UNABLE_TO_OPERATE","Это означает, что мод не может работать и отключился.","Warning message letting the user know that the mod can't work."
"HARMONY_ERROR","Zoning Adjuster не смог завершить необходимые исправления Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Возможные причины этой проблемы:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Требуемый мод Harmony 2 не был установлен","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Старый и/или сломанный мод мешает правильной работе Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Другой мод, возможно, пытается применить конфликтующее исправление Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"CONFLICT_DETECTED","Обнаружен конфликт модов!","Warning message that a mod conflict was detected."
"CONFLICTING_MODS","Конфликтующие моды:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"ZMD_ERR_CON1","Эти моды должны быть удалены, прежде чем Zoning Adjuster сможет работать.",""
"ZMD_100_0","Новый инструмент зонирования для добавления, сброса и удаления зонирования для любой дороги",""
"ZMD_100_1","Опция инструмента зонирования: переменный отступ зонирования от дороги",""
"ZMD_100_2","Опция инструмента зонирования: приоритетное зонирование по новизне дорог (чтобы зонирование для новых дорог не нарушало зонирование, привязанное к существующим дорогам)",""
"ZMD_102_0","Добавлена опция приоритизации зонирования новых дорог",""
"ZMD_110_0","Каждый вновь созданный блок зоны теперь запоминает настройки приоритета, с которыми он был создан (т.е. приоритизация новых или старых дорог), и сохраняет этот приоритет независимо от изменений настроек.",""
"ZMD_110_1","ПРИМЕЧАНИЕ 1: это относится только к вновь созданным блокам зоны.",""
"ZMD_110_2","ПРИМЕЧАНИЕ 2: конфликтующие настройки (например, приоритет старых дорог перед новыми рядом с дорогой, к которой применили настройку приоритета новых дорог) приведет к противоречивым результатам.",""
"ZMD_111_0","Кнопка мода теперь подвижна (нажмите и перетащите, чтобы переместить)",""
"ZMD_111_1","Позиции кнопок и панелей сохраняются при выходе из игры.",""
"ZMD_120_0","Добавлен параметр для отображения/скрытия панели настроек по умолчанию, когда отображается меню дорог",""
"ZMD_120_1","Добавлена опция 'отключить зонирование', чтобы отключить всё автоматическое зонирование (зонирование всё ещё можно применить вручную с помощью Zoning Adjuster)",""
"ZMD_120_2","Добавлена опция 'принудительное зонирование', чтобы добавить зонирование при строительстве дорог без включённого зонирования (например, шоссе)",""
"ZMD_120_3","Добавлена опция переключения одностороннего зонирования (удерживайте клавишу Alt при настройке дорог с помощью Zoning Adjuster)",""
"ZMD_120_4","Разрешить отрицательное зонирование (переместить зонирование ближе к дороге)",""
"ZMD_120_5","Добавлена горячая клавиша инструмента зонирования (по умолчанию Alt+Z)",""
"ZMD_130_0","Добавлена регулируемая глубина зонирования",""
"ZMD_140_0","Добавлена опция отключения кнопки панели (кнопка Unified UI всегда доступна)",""
"ZMD_155_0","Совместимость с версией игры 1.15 (Plazas & Promenades)",""
