"LANGUAGE","Українська"
"ZMD_NAME","Zoning Adjuster"
"ZMD_DESC","Дозволяє зонувати дороги 8-ти та 24-метрової ширини для узгодження зі звичайними та додає можливість змістити позиції зонування на дорогах."
"ZMD_PNL_DIS","Вимкнути зонування"
"ZMD_PNL_FOR","Примусове зонування"
"ZMD_PNL_DIS_TIP","Вимкнути створення зон для всіх доріг (зонування все ще можна додати за допомогою Zoning Adjuster)"
"ZMD_PNL_POZ","Пріоритет старих доріг"
"ZMD_PNL_POZ_TIP","Коли увімкнуто, зонування нових доріг не порушить зонування старих доріг"
"ZMD_PNL_PNZ","Пріоритет нових доріг"
"ZMD_PNL_PNZ_TIP","Коли увімкнуто, зонування старих доріг не порушить зонування нових доріг"
"ZMD_PNL_PVZ","Без пріорітету"
"ZMD_PNL_PVZ_TIP","Поведінка за замовчуванням"
"ZMD_PNL_SBK","Зонування з відступом"
"ZMD_PNL_SBK_TIP","Створює простір між краєм дороги та сіткою зонування"
"ZMD_PNL_DEP","Глибина зонування"
"ZMD_PNL_DEP_TIP","Встановлює максимальну глибину зон (від дороги) у клітинках"
"ZMD_OPT_KEY","Клавіша-модифікатор"
"ZMD_OPT_ZOK","Кнопка зсуву зонування"
"ZMD_OPT_SHO","Параметри видимості панелі"
"ZMD_OPT_SOR","Автоматично показувати панель налаштувань зонування, коли меню доріг відкрито"
"ZMD_OPT_SPB","Показувати попередню кнопку панелі"
"ZMD_OPT_POS","Розташування панелей і кнопок"
"ZMD_OPT_RPP","Скинути розташування панелі"
"ZMD_OPT_RBP","Скинути розташування кнопки"
"ZMD_SHIFT","Shift"
"ZMD_CTRL","Control"
"ZMD_ALT","Alt"
"KEY_KEY","Гаряча клавіша для зонування"
"ZMD_ERR_CON1","Ці модифікації необхідно видалити, перш ніж Zoning Adjuster зможе працювати."
"ZMD_100_0","Новий інструмент зонування для додавання, скидання та видалення зон для будь-якої дороги"
"ZMD_100_1","Опції інструмента зонування: зміна відступу зони від дороги"
"ZMD_100_2","Опція інструменту зонування: пріоритетне зонування за віком дороги (тому зонування для нових доріг не порушує зонування старших доріг)"
"ZMD_102_0","Додано параметр для визначення пріоритету зонування нових доріг"
"ZMD_110_0","Кожен новостворений блок зони тепер відповідає пріоритетним налаштуванням, з якими він був створений (тобто пріоритети для нових чи старих доріг) та збереже цей пріоритет, незалежно від будь-яких змін"
"ZMD_110_1","ПРИМІТКА. 1: Це стосується лише блоків щойно створеної зони"
"ZMD_110_2","ПРИМІТКА 2: конфліктні налаштування (наприклад, нова дорога має пріоритет поряд зі старою, у якої такий самий пріоритет) призведуть до непослідовних результатів"
"ZMD_111_0","Кнопка інструменті тепер може рухатись (натисніть і потягніть для переміщення)"
"ZMD_111_1","Позиція кнопок і панелі зберігається при виході з гри"
"ZMD_120_0","Додано параметр для показу/приховування панелі налаштувань за замовчуванням, коли меню доріг відкрито"
"ZMD_120_1","Додано опцію 'вимкнути зонування' для вимкнення автоматичного зонування (зонування все ще може застосовуватися вручну за допомогою Zoning Adjuster)"
"ZMD_120_2","Додано параметр 'примусове зонування' для будівництва на дорогах без зонування (наприклад, шосе)"
"ZMD_120_3","Додано параметр для увімкнення зонування на одній стороні (затисніть клавішу Alt при натисканні на дорогу з Zoning Adjuster)"
"ZMD_120_4","Дозволити негативне переміщення зонування (перемістити зонування ближче до дороги)"
"ZMD_120_5","Додати гарячу клавішу для зонування (за замовчуванням Alt-Z)"
"ZMD_130_0","Додає налаштовувану глибину зони"
"ZMD_140_0","Додано параметр для вимкнення кнопки панелі (кнопка Unified UI завжди доступна)"
"ZMD_155_0","Сумісно з версією гри 1.15 (Plazas & Promenades)"
"ZMD_160_0","ВАЖЛИВА ЗМІНА: прикріплення параметра зонування безпосередньо до сегментів дороги (стало можливо з останнім оновленням гри)"
"ZMD_160_1","Вдосконалено обробку перекриття зонування між дорогами, де одна має пріоритет, а інша не має його"
